,title,field,jif_rank,in_text_jif_rank,ranking_difference,articles_from_past_two_years,citations_to_past_two_years,in_text_citations_to_past_two_years
147,nature communications,article-level classification,100,86,14,10115,81491,152077
67,nature catalysis,Chemistry,65,51,14,208,2090,4039
47,physical review x,Physics & Astronomy,36,22,14,517,6502,13279
97,progress in particle and nuclear physics,Physics & Astronomy,79,65,14,71,686,1251
56,annual review of ecology evolution and systematics,Biology,53,38,15,106,1182,2398
135,nature chemistry,Chemistry,91,74,17,855,7466,13830
117,cell stem cell,Biomedical Research,112,93,19,446,3839,6714
66,nature materials,Enabling & Strategic Technologies,66,47,19,995,10746,19928
91,living reviews in computational astrophysics,,86,62,24,6,58,102
90,psychological bulletin,Psychology & Cognitive Sciences,85,59,26,141,1394,2659
124,progress in retinal and eye research,Clinical Medicine,117,89,28,101,888,1595
81,annual review of organizational psychology and organizational behavior,Economics & Business ,58,28,30,86,896,2024
69,academy of management annals,Economics & Business ,63,29,34,106,1116,2528
120,science advances,Biomedical Research,107,72,35,1709,14723,28221
153,microbiology and molecular biology reviews,Biomedical Research,102,66,36,47,414,800
113,international journal of computer vision,Information & Communication Technologies,109,71,38,317,2556,5362
122,nature cell biology,Biomedical Research,115,73,42,858,7662,13758
148,computational astrophysics and cosmology,,96,46,50,8,65,163
168,nature structural & molecular biology,Biomedical Research,150,96,54,666,4952,10360
114,personality and social psychology review,Psychology & Cognitive Sciences,110,49,61,58,508,1156
187,forum of mathematics pi,Mathematics & Statistics,127,64,63,7,55,125
143,publications mathématiques de l ihés,Mathematics & Statistics,89,17,72,30,246,874
112,synthesis lectures on antennas,,108,33,75,2,16,46
209,fungal diversity,Biomedical Research,198,87,111,78,520,1210
347,journal of the american mathematical society,Mathematics & Statistics,262,88,174,92,470,1440
